date,name,code,weekday,open,high,low,close,change,pct
2015-02-04,主动股基,930890,三,964.81,964.81,964.81,964.81,-5.21,-0.54
2015-02-04,偏股基金,930950,三,943.36,943.36,943.36,943.36,-4.31,-0.45
2015-02-04,主动偏股,932055,三,976.20,976.20,976.20,976.20,-3.33,-0.34
2015-02-04,股票基金,H11021,三,5890.81,5890.81,5890.81,5890.81,-27.58,-0.47
2015-02-05,偏股基金,930950,四,939.25,939.25,939.25,939.25,-4.11,-0.44
2015-02-05,主动股基,930890,四,959.74,959.74,959.74,959.74,-5.07,-0.53
2015-02-05,股票基金,H11021,四,5862.68,5862.68,5862.68,5862.68,-28.13,-0.48
2015-02-05,主动偏股,932055,四,973.22,973.22,973.22,973.22,-2.98,-0.31
2015-02-06,偏股基金,930950,五,922.38,922.38,922.38,922.38,-16.87,-1.80
2015-02-06,主动股基,930890,五,944.54,944.54,944.54,944.54,-15.20,-1.58
2015-02-06,股票基金,H11021,五,5755.50,5755.50,5755.50,5755.50,-107.18,-1.83
2015-02-06,主动偏股,932055,五,954.90,954.90,954.90,954.90,-18.32,-1.88
2015-02-09,主动股基,930890,一,944.21,944.21,944.21,944.21,-0.33,-0.04
2015-02-09,偏股基金,930950,一,921.87,921.87,921.87,921.87,-0.51,-0.06
2015-02-09,股票基金,H11021,一,5749.33,5749.33,5749.33,5749.33,-6.17,-0.11
2015-02-09,主动偏股,932055,一,951.92,951.92,951.92,951.92,-2.98,-0.31
2015-02-10,主动偏股,932055,二,967.55,967.55,967.55,967.55,15.63,1.64
2015-02-10,偏股基金,930950,二,937.09,937.09,937.09,937.09,15.22,1.65
2015-02-10,主动股基,930890,二,958.84,958.84,958.84,958.84,14.63,1.55
2015-02-10,股票基金,H11021,二,5841.59,5841.59,5841.59,5841.59,92.26,1.60
2015-02-11,主动偏股,932055,三,982.10,982.10,982.10,982.10,14.55,1.50
2015-02-11,偏股基金,930950,三,949.53,949.53,949.53,949.53,12.44,1.33
2015-02-11,主动股基,930890,三,970.40,970.40,970.40,970.40,11.57,1.21
2015-02-11,股票基金,H11021,三,5914.75,5914.75,5914.75,5914.75,73.16,1.25
2015-02-12,主动偏股,932055,四,987.52,987.52,987.52,987.52,5.42,0.55
2015-02-12,偏股基金,930950,四,954.23,954.23,954.23,954.23,4.70,0.49
2015-02-12,股票基金,H11021,四,5943.58,5943.58,5943.58,5943.58,28.83,0.49
2015-02-12,主动股基,930890,四,976.20,976.20,976.20,976.20,5.80,0.60
2015-02-13,偏股基金,930950,五,965.83,965.83,965.83,965.83,11.60,1.22
2015-02-13,主动股基,930890,五,988.38,988.38,988.38,988.38,12.19,1.25
2015-02-13,股票基金,H11021,五,6018.20,6018.20,6018.20,6018.20,74.62,1.26
2015-02-13,主动偏股,932055,五,1000.86,1000.86,1000.86,1000.86,13.34,1.35
2015-02-16,主动股基,930890,一,1005.97,1005.97,1005.97,1005.97,17.58,1.78
2015-02-16,偏股基金,930950,一,981.75,981.75,981.75,981.75,15.92,1.65
2015-02-16,主动偏股,932055,一,1019.70,1019.70,1019.70,1019.70,18.84,1.88
